
#####
##### SCREEN-RESOLUTIONS
#####

# 2015-09-04,2015-12-02
Item,Value,Value Percent,Conversions,Conversion Percent,URL,Stats URL
"1120x700",12,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1120x700"
"1670x939",11,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1670x939"
"1067x600",11,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1067x600"
"800x1280",11,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=800x1280"
"1745x982",11,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1745x982"
"1821x1024",10,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1821x1024"
"1242x698",10,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1242x698"
"1138x640",10,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1138x640"
"534x854",10,0.1,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=534x854"
"2133x1200",9,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=2133x1200"
"854x534",9,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=854x534"
"1024x600",9,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1024x600"
"960x600",9,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=960x600"
"1707x960",8,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1707x960"
"1097x617",8,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1097x617"
"1080x1920",7,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1080x1920"
"2560x1080",7,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=2560x1080"
"1518x853",7,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1518x853"
"383x640",7,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=383x640"
"962x601",7,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=962x601"
"1706x960",7,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1706x960"
"1829x1029",7,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1829x1029"
"1051x591",7,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1051x591"
"534x320",7,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=534x320"
"400x640",6,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=400x640"
"403x671",6,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=403x671"
"1607x904",6,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1607x904"
"1024x640",5,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1024x640"
"1024x552",5,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1024x552"
"383x638",5,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=383x638"
"1347x1078",5,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1347x1078"
"1477x831",5,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1477x831"
"1066x600",5,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1066x600"
"1324x745",5,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1324x745"
"3440x1440",5,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=3440x1440"
"320x490",5,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=320x490"
"911x512",4,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=911x512"
"1066x800",4,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1066x800"
"1455x818",4,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1455x818"
"1188x668",4,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1188x668"
"2021x1137",4,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=2021x1137"
"1684x947",4,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1684x947"
"357x595",4,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=357x595"
"1371x771",4,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1371x771"
"1280x850",4,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1280x850"
"1778x1000",3,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1778x1000"
"1463x823",3,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1463x823"
"1368x768",3,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1368x768"
"1365x1024",3,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1365x1024"
"1080x720",3,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1080x720"
"1951x1097",3,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1951x1097"
"343x571",3,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=343x571"
"2400x1350",3,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=2400x1350"
"1600x1000",3,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1600x1000"
"360x594",3,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=360x594"
"1333x750",3,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1333x750"
"1440x810",3,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1440x810"
"1755x987",3,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1755x987"
"1676x943",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1676x943"
"828x465",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=828x465"
"320x396",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=320x396"
"1200x1600",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1200x1600"
"1024x614",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1024x614"
"1113x890",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1113x890"
"1185x948",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1185x948"
"960x544",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=960x544"
"976x549",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=976x549"
"1164x931",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1164x931"
"384x640",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=384x640"
"3840x2160",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=3840x2160"
"1364x768",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1364x768"
"320x221",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=320x221"
"1050x1680",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1050x1680"
"960x540",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=960x540"
"2400x1500",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=2400x1500"
